id,p_benchmark,incentive,net_revenue
33246,0.977726126850267,1014.6774193548388,93118.46631552425
96,0.9871521015857349,437.4193548387097,83307.62359599031
47621,0.9747460975662224,1555.5913978494623,131352.5259321571
82051,0.9929201055779298,27.150537634408604,32953.63324476647
99791,0.9963908640379228,1630.3763440860216,400947.34221066354
99328,0.9885760616364384,1157.8494623655913,57487.33009183566
42305,0.9719077131036794,1288.3870967741937,241050.2335139554
93387,0.9651753969418677,795.5913978494624,19405.075192191824
19851,0.9545477527530467,1211.8817204301076,91666.04785602144
86524,0.9938648924309816,1052.47311827957,691761.1235001178
92830,0.9812890915283147,279.6236559139785,410665.58690518944
16596,0.9074802392676493,117.84946236559139,215370.25599367934
68866,0.8733701718153231,550.2150537634409,77329.32288134942
111974,0.990061334533336,228.6021505376344,14772.511510260738
2658,0.9582788964151576,808.9247311827958,265421.7075932782
54440,0.9677093228357073,294.0860215053763,100875.2132971359
61437,0.9894162788480964,1004.516129032258,205239.4524165954
8987,0.955217199017092,1558.763440860215,92222.57042025027
5621,0.9665022124140284,1568.5483870967741,93335.15628398235
49999,0.933232736159926,792.0967741935484,155388.22156371817
11126,0.9269736500579132,74.46236559139786,86407.30804937924
13724,0.888653701555142,1659.032258064516,119684.73437504083
91931,0.9887622782866343,1488.3333333333333,170878.9344209968
96415,0.9967815530144649,753.494623655914,92535.55982918545
47257,0.9368594446249245,712.0430107526881,120196.93940857935
79679,0.8477169284511668,361.02150537634407,280217.8309215267
81419,0.975751896754541,1196.021505376344,388864.4142937927
11789,0.9488288891064368,411.93548387096774,17204.17913464709
23165,0.91646267582685,1174.5698924731182,92803.79766782132
66907,0.9791211398816286,1033.279569892473,130060.58094844845
64765,0.995295778752147,352.0967741935484,48246.98406338697
21000,0.9688516949404216,1047.6881720430108,165148.57043343916
101745,0.8119034411749216,1329.9462365591398,47141.88668606521
73714,0.8417212357196936,1345.8064516129032,400850.73109529924
11777,0.9488678334051972,1528.6021505376345,96756.23932750741
70895,0.9726074011303373,1611.3440860215053,316930.46164111077
3252,0.9982441694156118,223.44086021505376,145801.3053860403
38295,0.9963603040402234,931.989247311828,168482.77683476207
71987,0.9738352829134864,1824.3010752688172,56780.277468973494
58724,0.9993337530099479,477.15053763440864,321610.226612321
62388,0.92332363107023,949.0322580645161,156282.66678006577
113326,0.9761686879863026,874.9462365591398,164173.62280274215
18651,0.7455296378134765,871.0752688172043,70003.7145658913
98518,0.9344495285104223,662.3655913978495,319291.8521860472
93369,0.96452618000129,1654.1935483870968,166916.96416453255
40479,0.988258447264662,610.4301075268818,158957.88858320616
24570,0.5882433572321142,1720.6989247311828,33646.01820620372
17300,0.931995698243834,621.7204301075269,117295.31256348013
47689,0.9884737860049169,809.4086021505376,165009.255459063
59193,0.9722924289461057,1596.1827956989248,19628.555880319345
55368,0.9798367326620677,76.45161290322581,36312.09417531162
30276,0.9994033899301515,1405.483870967742,20334.11787584419
7109,0.9812722016321621,312.90322580645164,104514.14808491453
59221,0.9044006330675314,1614.032258064516,87250.18997821811
93941,0.9785650413652063,1113.6021505376343,314836.1765383679
54411,0.9733977150360019,764.1397849462365,95559.43086729434
75608,0.9925243177670746,370.752688172043,111486.7791225294
72158,0.9251507368866125,1764.4623655913979,89293.06450468767
14009,0.9897055503027412,1393.5483870967741,170786.34635669
14952,0.7320380156348137,143.2258064516129,8680.83501050372
42688,0.9299747140225455,1313.494623655914,54180.35888595256
108534,0.8743406567019101,797.5268817204301,497999.2110893283
