ID,Approved
APPH30895441102,0.00078776845
APPO10318174417,0.032485265
APPD60360568709,0.04430258
APPF50419654927,0.06733233
APPA30945815838,0.0066611464
APPR30542947346,0.007616988
APPQ50274921037,0.04234806
APPU40865652815,0.008785568
APPP20793557143,0.06267227
APPQ70254923024,0.004726563
APPH70208077335,0.18146393
APPH70011418317,0.006238781
APPV40552212709,0.0024974726
APPK80994734435,0.00079128
APPR20096113326,0.0026516619
APPV80589429528,0.0009808087
APPV60867466529,0.009281381
APPY40377285449,0.40709296
APPF90354828335,0.009241798
APPO20974345635,0.0064103114
APPF20895404905,0.0016570047
APPC20115318623,0.074460946
APPY40669652028,0.020968
APPI60541308816,0.0012469384
APPS40957019209,0.0007741691
APPP10916717331,0.0013400888
APPD60112141339,0.0044795643
APPN10734615711,0.033234015
APPM70896121422,0.015165537
APPI30712489617,0.0033742015
APPL10929047309,0.0024334027
APPS70432176244,0.00031395123
APPS90653731017,0.0037168725
APPO90325334615,0.0009082751
APPG30426584238,0.01829356
APPN30122207333,0.011232258
APPR80098058121,0.0017341989
APPU70650812242,0.13661504
APPW20750627422,0.022052556
APPD50735248141,0.0007245071
APPD20057249113,0.0011395139
APPL80957539314,0.002632991
APPW80483841038,0.0016410375
APPM80353902246,0.001502679
APPT70192861324,0.0013861696
APPE10912715224,0.002653481
APPF40005866102,0.000600125
APPU80434388847,0.00043091862
APPR60891024712,0.0006080061
APPW50176952041,0.1002199
APPQ70420418027,0.0014230798
APPR40422361106,0.046177566
APPG90190336618,0.009417423
APPP50728172903,0.03952004
APPK20187374622,0.0008300996
APPQ10991209231,0.013953762
APPQ20535249229,0.11039765
APPK40731012204,0.05000341
APPJ70680008521,0.00539952
APPG60684244629,0.0011276733
APPZ50945158141,0.090465404
APPP70666972129,0.0019621311
APPN60339376713,0.0074996664
APPS30557487018,0.00061375904
APPG90090964007,0.0016419729
APPU70219227432,0.0016078753
APPR60803088329,0.047780186
APPM50631867625,0.0036025073
APPY50175463221,0.026843658
APPG50472997846,0.011346144
APPV30602156125,0.07118587
APPJ80657778906,0.004294163
APPH10161458941,0.0009046338
APPF50429057905,0.00051404565
APPD70655587317,0.003579952
APPO90488556215,0.0008260639
APPU40534651604,0.0049164323
APPX20714187506,0.02417959
APPD70182973542,0.0021459237
APPA20293927414,0.0016058618
APPN80693115301,0.1679849
APPP50655334307,0.0008714574
APPW90396788027,0.008802854
APPG30738248449,0.00039685867
APPQ10215154443,0.00047388842
APPM70580221014,0.0028818098
APPA70147427013,0.06391435
APPW40575718622,0.002431151
APPY90270833041,0.034576707
APPI60217624812,0.021686662
APPM80767095849,0.0017105124
APPE90712953821,0.010434155
APPB70135505106,0.019115612
APPQ10107589403,0.0053891437
APPL60066453704,0.008949565
APPX50710921935,0.0029360375
APPV60948221504,0.0012634841
APPJ10136571348,0.0011548942
APPB30554463314,0.0010851491
APPY20193628238,0.05568763
APPS10629915808,0.005835901
APPQ90949197436,0.0002618089
APPL30067855735,0.1164067
APPW50756302239,0.05077368
APPX30886556302,0.00088681234
APPE10777322802,0.0052162916
APPR50658201543,0.0030488523
APPW10255915841,0.019553958
APPX30626136506,0.0039865184
APPG30954925613,0.0022393079
APPA90551754423,0.0034875714
APPV10028014541,0.0062509757
APPO90320099007,0.0704297
APPP40370129547,0.007019432
APPK20670243625,0.001636832
APPW50616822618,0.002760148
APPL80159303546,0.23989272
APPJ20450781148,0.0035722805
APPD70677898511,0.01059253
APPK50841567036,0.0054307026
APPX30341436923,0.013674748
APPS90777217401,0.0011981102
APPD30806388547,0.11794906
APPV60402228504,0.0016323288
APPX60823618108,0.001459428
APPT20256916908,0.0008658783
APPJ20805081541,0.16532752
APPP10841417535,0.010958885
APPW20039355216,0.0020590767
APPS30579128448,0.01701788
APPM60266943823,0.0112147
APPH60731041307,0.0028495735
APPO20613814233,0.0062062545
APPE40974536227,0.00094017497
APPV80613983943,0.011641242
APPF20661518124,0.002802952
APPC80173244242,0.0017077568
APPR80447254917,0.016848665
APPP30548201941,0.05703938
APPU70091543803,0.0008239375
APPQ50560108403,0.008474571
APPJ30627748336,0.0053770775
APPS50964289419,0.0030544447
APPO50133522212,0.0006883066
APPU10823845437,0.0017921047
APPZ20270473147,0.15279628
APPD80559332146,0.0018894864
APPH90710077543,0.18022877
APPJ70395298117,0.0050893603
APPV90129116108,0.004637649
APPY80038198442,0.024573786
APPD30195319928,0.035399877
APPA50914126207,0.0021838706
APPO40601688845,0.014960839
APPU50222994234,0.0005214551
APPQ50333148442,0.034862462
APPZ20143292732,0.0008005534
APPF40263086739,0.0039395085
APPD50995046512,0.0013604065
APPO40677666431,0.003524289
APPH50531622933,0.010710575
APPD70193311328,0.010182381
APPS70819614803,0.020293737
APPA60150312242,0.023879781
APPS80880191013,0.0007029769
APPU50175053204,0.015533997
APPM50718906249,0.00039260316
APPS90654496841,0.025251707
APPO70891056839,0.0107053155
APPO70424028602,0.0034517401
APPM20792739017,0.114727244
APPH20202464143,0.014482419
APPN20766493302,0.0014599973
APPP80342144727,0.032837313
APPS20288868033,0.0019807017
APPG30347959032,0.013310961
APPT40739637716,0.020266054
APPY30194074234,0.0018439165
APPU70652362233,0.0015221708
APPB70626246737,0.0032695169
APPF10836924509,0.0018679269
APPN30931988541,0.00057862286
APPM80285314446,0.0038279605
APPM90899068411,0.060387366
APPU10984443821,0.0016156605
APPI20594804802,0.0008090864
APPX90843479141,0.06759458
APPM40245586807,0.005240808
APPS90449206043,0.011491525
APPJ30790077534,0.0015817282
APPP10935351927,0.059779067
APPK30047998034,0.0016652722
APPY90192856816,0.0054940507
APPV60539348703,0.0008557273
APPL20648378943,0.0009767434
APPH70445274732,0.010923168
APPY90597705025,0.00060609623
APPA20360222013,0.008277734
APPI60195801213,0.007729534
APPQ70193072011,0.0008171943
APPB80798999911,0.0068432265
APPZ70580337128,0.021600328
APPD50851179939,0.0010211612
APPK50447744612,0.006290543
APPI20307209012,0.00089176506
APPX10339689306,0.045215096
APPC30706822435,0.015234987
APPM50371344833,0.014554511
APPL90448267309,0.23585193
APPU30246388647,0.00916075
APPZ50681344747,0.005373488
APPL60286432302,0.0018147333
APPY40808731031,0.0019782109
APPU40937622821,0.005803404
APPD40301619912,0.016710438
APPH60492414121,0.010882476
APPM10853767031,0.029374626
APPU70776922029,0.026450299
APPA50075084641,0.003729046
APPD80168954127,0.004086967
APPU50630622835,0.0018291825
APPF60832718921,0.0059895944
APPB70232698342,0.0025187645
APPX40703591937,0.020319872
APPT30902468322,0.004743011
APPG30996972632,0.01135463
APPU50071449636,0.21943831
APPN90722383726,0.0074962387
APPU30127312418,0.0037276435
APPM50982228416,0.037134238
APPP60916445912,0.0008243184
APPA60700624832,0.008733149
APPW80871512221,0.0018018332
APPO50873546213,0.012026248
APPA10875697849,0.020512637
APPD40803081115,0.0015444984
APPA80648967027,0.0012038053
APPB30317553101,0.00082796393
APPP90828896144,0.13543597
APPR80880102131,0.028009461
APPI50632193206,0.003358324
APPL60339099118,0.0031283472
APPS10888568835,0.004146226
APPP40707564538,0.029507047
APPO90869258206,0.015788836
APPZ60072555538,0.003700677
APPT20616912922,0.0009440558
APPM10413393633,0.0013069627
APPI10834208223,0.0040651155
APPU70890434424,0.0069712517
APPT10099648123,0.015644105
APPA50422549428,0.00054325163
APPV40130865525,0.018557196
APPK40699627807,0.0007668462
APPE10924284607,0.02398396
APPE40077751032,0.06316793
APPC10698325806,0.004592913
APPY20350177606,0.08189237
APPC60934316401,0.26479617
APPP80973696147,0.00051699864
APPM50023255639,0.0016281705
APPC50297995421,0.0070544733
APPK30824549837,0.0007571609
APPW50236159838,0.0007804582
APPC40338446201,0.0070976145
APPE70421036203,0.0010160161
APPY60378063401,0.010631475
APPY80532609218,0.0018750608
APPI40451892622,0.056555577
APPR90081439134,0.0028257081
APPO20824875828,0.004443036
APPH70887124726,0.016197376
APPX20732574341,0.003035596
APPD60185146917,0.0054920916
APPV90872428522,0.006270791
APPT70739234549,0.017161252
APPZ90945366947,0.0006480801
APPE30065667811,0.038492776
APPN60296209721,0.021756902
APPV10788567149,0.0007582859
APPX80891888344,0.0004717532
APPK30660495416,0.046920683
APPQ90158629436,0.004520552
APPU50264473427,0.009058525
APPW30683673039,0.0011683461
APPJ30333348914,0.0009908302
APPP90345529521,0.0006385728
APPB10917099745,0.011650408
APPF90369909105,0.0037015562
APPI60830303237,0.00094270444
APPH70034311903,0.010926475
APPQ30078359848,0.0011105287
APPA40780549618,0.03834364
APPG90028619004,0.0036166816
APPP50938948502,0.00043893442
APPT50869994737,0.022066714
APPX80564176701,0.012083651
APPX20601595115,0.024168337
APPG70055589012,0.012583781
APPV90747577313,0.0014745248
APPR40922614149,0.022557182
APPA10032667022,0.0004830028
APPP90840082133,0.010909781
APPD30684304322,0.009526161
APPN90441187939,0.0060023894
APPY50899657234,0.0006149433
APPJ10323466326,0.0018193707
APPA90466834443,0.0016725584
APPB30380924907,0.15807547
APPT20521426122,0.001209811
APPY70322662247,0.0011654317
APPJ20120954105,0.005820765
APPD60300958343,0.07162976
APPJ70248772904,0.09108044
APPN60095405347,0.098794624
APPU50149699219,0.00090792077
APPJ60782115744,0.0019041337
APPO20132377634,0.0012577527
APPQ60130349202,0.0007177059
APPF30055926147,0.008835179
APPL10376946515,0.0015572394
APPH30145047525,0.0052182763
APPY70321308038,0.017059233
APPF80327968313,0.0071452614
APPQ40973337847,0.009867526
APPT50929531302,0.0060058953
APPY50095072018,0.0034767434
APPX10132995129,0.21135928
APPW70659167622,0.0005169664
APPX40883529136,0.019073814
APPV80142653734,0.0017942454
APPI40975155212,0.119274
APPK80035465011,0.009839769
APPH70169626741,0.0013073506
APPI10672955006,0.0013913368
APPT60670697313,0.23264876
APPZ60841331104,0.0029825552
APPU80413318416,0.009116548
APPG30884421239,0.27323273
APPO60603575002,0.011864211
APPX10114004101,0.009660088
APPB50337281714,0.0009411608
APPE40896788819,0.002489763
APPO50756897247,0.004861921
APPN10455342107,0.0035242087
APPT10039845517,0.0012596042
APPP40646455111,0.0010041136
APPX30546367926,0.049594913
APPW70002855014,0.000816981
APPR60028042344,0.00927216
APPD60802338307,0.00042425565
APPG80402566441,0.0012875304
APPL90502023344,0.03639729
APPB60971043707,0.12108324
APPH20837311129,0.0038118965
APPM80459954229,0.024668263
APPE10845424449,0.006405059
APPP10131142945,0.0014845413
APPA80897192047,0.0026874102
APPG80646529034,0.00062086066
APPH40397133335,0.00058127416
APPG90731372637,0.009712296
APPO40471792424,0.0013041663
APPW70994003834,0.00047091598
APPP20766279516,0.0047949464
APPO80748389619,0.0023920508
APPW40290993003,0.15681273
APPZ10703331334,0.0058663785
APPZ60914521734,0.0011368126
APPO20332975627,0.017069317
APPE10378753423,0.028615786
APPL20464286303,0.017680047
APPH10523696914,0.0028937978
APPA40135146216,0.0034735086
APPP80950307301,0.00048491007
APPF10255114546,0.0009402126
APPM80850661446,0.00073961314
APPW80273189249,0.073091075
APPQ10485442416,0.013419022
APPG50830904446,0.006838924
