,id,p_benchmark,incentive
0,104831.0,0.8714161710499976,736.3
1,39827.0,0.09936652323044505,762.0704999999999
2,95594.0,0.4181806844733045,89.8286
3,49409.0,0.08890102592702727,798.1492
4,37635.0,0.6770433574073171,646.4713999999999
5,105261.0,0.7410587510582871,1627.9593
6,103813.0,0.6403003910508873,1549.9115
7,49684.0,0.4078231208479035,1151.5731999999998
8,36844.0,0.8945073413560354,255.49609999999998
9,64173.0,0.8000347429900061,136.2155
10,105663.0,0.8195148321097044,554.4339
11,12798.0,0.47593478768430836,1563.9011999999998
12,74704.0,0.4244668362900801,605.9748999999999
13,51269.0,0.057558233869652364,1224.4669
14,95602.0,0.4911871346078526,1231.8299
15,3126.0,0.7413374442944205,921.1112999999999
16,19517.0,0.4428371554686738,234.87969999999999
17,55568.0,0.046709557533425525,404.2287
18,77069.0,0.8610897420196005,312.1912
19,5454.0,0.8908599432158548,1672.8736
20,18361.0,0.26858289187558876,86.8834
21,87235.0,0.2856513864923018,813.6115
22,28016.0,0.6304893687054852,376.24929999999995
23,13940.0,0.8983125495844375,663.4063
24,74385.0,0.44333115114967936,1735.4590999999998
25,13045.0,0.7793213300770896,1643.4216
26,41458.0,0.7688737175730258,623.6460999999999
27,113963.0,0.8128262139930261,1412.9596999999999
28,14957.0,0.41083979521759306,928.4743
29,50816.0,0.17771884939650145,455.0334
30,43288.0,0.7629709434820752,71.4211
31,90539.0,0.5414788273097131,298.2015
32,97902.0,0.7755468513357391,1227.4121
33,44744.0,0.8998962533160956,1633.1134
34,73098.0,0.8794961058648626,1464.5006999999998
35,32509.0,0.40827741271139584,1599.9798999999998
36,99352.0,0.551506843559693,1432.1035
37,2468.0,0.8420888603149486,1161.8814
38,57448.0,0.12533738590999682,63.321799999999996
39,10595.0,0.06534519818229204,348.2699
40,97829.0,0.5332273557043921,1002.1043
41,85790.0,0.5639186712356293,203.2188
42,25856.0,0.8148852534395102,1032.2926
43,602.0,0.7997504211406645,228.253
44,29211.0,0.4380576460943937,187.7565
45,87965.0,0.62666128756183,512.4648
46,13961.0,0.6934391577237213,1469.6547999999998
47,57801.0,0.6876937932410582,227.5167
48,11237.0,0.2551825896197041,33.8698
49,100584.0,0.3495809452960294,777.5328
50,50370.0,0.8521689796525698,1418.1137999999999
51,50524.0,0.7719001955134921,886.5052
52,17719.0,0.32938096635593683,1728.0961
53,59145.0,0.2137890146919577,16.9349
54,97336.0,0.8761882836079498,1435.0486999999998
55,84414.0,0.30070968299245704,833.4916
56,59787.0,0.3598024733888291,41.9691
57,51245.0,0.8677385017708398,1201.6416
